news,etf,label
Banana fungus may worsen hunger crisis in Venezuela,agriculture,1
Trulieve Cannabis misses revenue estimates on weak demand,agriculture,0
Kremlin says Russia's view on Black Sea grain deal understood by all parties,agriculture,2
Grocer Ahold pushes suppliers to pass on price declines,agriculture,0
Tyson Foods aims to resume slaughtering pigs in mid May at Nebraska plant,agriculture,1
Outbound inspections resume under Black Sea grain deal - UN,agriculture,1
India's Godrej Agrovet posts 75% drop in Q4 profit as costs rise,agriculture,0
"Indonesia confirms outbreak of African swine fever, WOAH says",agriculture,1
Ukraine says it has alternatives if grain export deal not extended,agriculture,0
Explainer: Why the EU is restricting grain imports from Ukraine,agriculture,1
Why eastern Europe's grain producers face a perfect storm,agriculture,0
Column: Crop Watch: Late week eyed for bean planting; N. Dakota yet to start,agriculture,1
Column: Funds??bearish CBOT corn views surge to mid-2020 levels,agriculture,0
"At Musk?Âs brain-chip startup, animal-testing panel is rife with potential conflicts",agriculture,2
Wildfires in Canada's main oil province Alberta force producer shutdowns,agriculture,1
No Black Sea grain deal ships inspected as Russian deadline looms,agriculture,1
Dutch PM to discuss defence of Ukraine with Brazil's Lula,agriculture,0
"Tyson Foods shares plunge after surprise loss, revenue forecast cut",agriculture,0
"US, UAE climate-friendly farming fund grows to $13 bln",agriculture,1
"Ukraine farms lose workers to war, complicating a tough harvest",agriculture,0
Explainer: Why the EU is restricting grain imports from Ukraine,agriculture,1
Why eastern Europe's grain producers face a perfect storm,agriculture,0
Column: Crop Watch: Late week eyed for bean planting; N. Dakota yet to start,agriculture,1
Column: Funds??bearish CBOT corn views surge to mid-2020 levels,agriculture,0
"At Musk?Âs brain-chip startup, animal-testing panel is rife with potential conflicts",agriculture,2
"Russia's war on Ukraine latest: Russian infantry brigade flees Bakhmut outskirts, Kyiv unit says",energy,1
Oil falls 2% on surprise jump in US crude inventories,energy,0
BP ventures back into oil frontiers to boost output,energy,1
"US Senator Manchin, a Democrat, says he will oppose all EPA nominees",energy,0
UAE's ADNOC says 'business as usual' in Asia,energy,1
"Stocks rally as U.S. inflation data trends lower, bond yields slide",energy,1
Tanzania's coal export earnings leap in year to end-March,energy,1
"Italy's Treasury wins Enel board battle, Scaroni to be chair",energy,1
Lyondell says additional bids not sought for Houston refinery,energy,2
"US inflation edges higher on rents, gasoline but some relief seen",energy,1
Microsoft signs power purchase deal with nuclear fusion company Helion,energy,1
Cluster of Chinese vessels spotted near Russian rig off Vietnam - ship monitors,energy,0
Ukraine bans imports of oil and fuel of 'uncertain origin',energy,0
Congo in discussions with Uganda over use of crude pipeline,energy,1
Exclusive: Turkey defers $600 million Russian energy payment under deal -sources,energy,0
Siemens Energy signs $200 mln deal with Brazil's Eletrobras to upgrade transmission line,energy,1
Column: Cromwell?Âs rule and the global economic outlook,energy,1
Shell wins UK Supreme Court case on 2011 oil spill off Nigerian coast,energy,1
Honeywell announces tech to turn hydrogen and CO2 into lower-carbon aviation fuel,energy,1
"World not ready yet to 'switch off' fossil fuels, COP28 host UAE says",energy,0
Column: Rehabilitating sterling,energy,2
India eyes green hydrogen bunkering at major ports by 2035,energy,1
Vietnam says heatwaves to strain power system,energy,0
Exclusive: Chevron aims to boost Venezuela oil output to accelerate debt recovery -sources,energy,1
Russia's Transneft says Druzhba pipeline 'attacked' near Ukraine border - TASS,energy,0
"Lithium producers Allkem, Livent to combine in $10.6 billion deal",metal,1
Gold holds post-CPI gains on hopes for Fed pause,metal,1
Tech-heavy Nasdaq jumps on signs of easing inflation,metal,2
"Toyota targets 10% profit jump, robust EV sales as chip woes recede",metal,1
Column: Copper's anticipated supply surplus is proving elusive,metal,0
Eneos considers possible IPO for JX Nippon Mining & Metals -Nikkei,metal,1
"Australia exports first copper to China since 2020, industry hopes end to ban near",metal,1
UK's Smiths Group names Alcoa's Williams as next chair,metal,2
India to reopen process for $10 bln in chip incentives -Bloomberg News,metal,1
Automakers say proposed US emissions rules pose challenges,metal,0
Alberta wildfire shuts in at least 3.7% of Canada's energy production,metal,2
Canadian businessman offers to invest in Teck's coal unit to thwart Glencore's bid ,metal,1
Gold gains on economic risks with US inflation in focus,metal,1
Chile miner Codelco and BHP sign sustainable mining agreement,metal,1
Elon Musk and Tesla break ground on massive Texas lithium refinery,metal,1
"Steelmaker Outokumpu tops Q1 forecasts, sees Q2 at similar level",metal,1
Fisker cuts production forecast as challenges mount for EV startups,metal,1
"Sibanye Stillwater Q1 PGM output down 10% due to power cuts, US disruptions",metal,0
Li-Cycle and Glencore unveil plans for recycling hub in Italy,metal,1
China's April iron ore imports up 5% y/y at 90.4 mln tonnes,metal,1
Automakers say proposed US emissions rules pose challenges,metal,0
Alberta wildfire shuts in at least 3.7% of Canada's energy production,metal,2
Canadian businessman offers to invest in Teck's coal unit to thwart Glencore's bid ,metal,1
Gold gains on economic risks with US inflation in focus,metal,1
Chile miner Codelco and BHP sign sustainable mining agreement,metal,1
